Epoch,Training Set Accuracy, Generalization Set Accuracy,Training Set MSE, Generalization Set MSE
359,65.1833,67.525,0.0757996,0.0837145
360,65.5333,65.825,0.0762503,0.0847691
361,65.35,65.75,0.0760091,0.0843745
362,64.7167,66.1,0.0758644,0.0844835
363,65.225,66.575,0.0755702,0.0854973
364,65.4417,68.375,0.0758685,0.0859279
365,66.2917,68.05,0.0764024,0.0860119
366,65.8583,67.425,0.0761635,0.0858469
367,65.25,67.275,0.0766831,0.0859394
368,65.4917,67.3,0.0764123,0.0865135
369,65.925,65.725,0.0765866,0.0854424
370,65.1917,65.875,0.0753196,0.0855442
371,65.1833,63.95,0.075961,0.0854562
372,65.425,65.025,0.0761302,0.0854778
373,65.0417,66.625,0.0758486,0.0852804
374,65.475,66.75,0.0758122,0.084709
375,65.3333,65.2,0.0756541,0.0838104
376,65.1583,65.575,0.0766672,0.0843827
377,65.7583,63.625,0.0760034,0.0842368
378,65.8667,64.325,0.0762667,0.0835688
379,65.575,64.45,0.0764714,0.0844899
380,65.4083,65.1,0.0763156,0.085257
381,65.9,65.35,0.0775945,0.084844
382,65.65,66.65,0.0776409,0.0858441
383,65.3083,64.85,0.0761707,0.08473
384,65.2083,65.75,0.0765018,0.0852284
385,65.2417,64.85,0.0765966,0.0838925
386,64.4333,64.8,0.0775214,0.0849538
387,64.5167,65.3,0.0760043,0.0860556
388,64.3,63.7,0.0767049,0.0846366
389,63.8667,62.95,0.0772543,0.0853576
390,63.625,64.225,0.0759235,0.0864979
391,63.2667,61.95,0.0763344,0.0864161
392,63.8917,64.775,0.0753231,0.0847375
393,63.9583,67.4,0.0759758,0.0840789
394,63.8333,67.55,0.0763895,0.0853566
395,64.8167,64.75,0.0756393,0.0849985
396,65.1167,67.075,0.0752284,0.0830468
397,64.2833,67.925,0.0763939,0.0850235
398,64.625,64.1,0.0771831,0.0849146
399,64.0667,64.15,0.0756393,0.0831164
400,63.1417,66.775,0.0764932,0.084295
401,63.975,64.7,0.0763171,0.0842278
402,64.575,66.375,0.0761122,0.0832349
403,63.9833,67.025,0.0763299,0.0841484
404,64.4,67.125,0.0752874,0.0846499
405,63.0417,65.725,0.0763392,0.0840273
406,63.625,64.4,0.0760289,0.0840657
407,63.7083,64.25,0.0755484,0.0853051
408,62.5333,60.6,0.0761384,0.0840399
409,62.6417,66.2,0.0764576,0.0853383
410,63.0083,62.125,0.0759269,0.0833188
411,61.275,59.925,0.0764626,0.084602
412,64.5583,64.25,0.0759158,0.0845156
413,61.4333,60.575,0.0769316,0.0855618
414,61.3167,62.225,0.0768782,0.0845958
415,63.3,63.75,0.0753422,0.0827862
416,62.7667,61.35,0.0764893,0.0819552
417,62.7833,65.75,0.0755278,0.0811147
418,64.1917,65.3,0.0768515,0.0819869
419,62.125,61.075,0.0764136,0.0829279
420,62.7167,60.6,0.07603,0.08241
421,63.15,61.175,0.0758187,0.0829543
422,63.575,64.425,0.0758865,0.0837255
423,63.2833,60.125,0.0756165,0.0828166
424,62.9083,60.125,0.0757362,0.0839185
425,63.65,62.6,0.0764235,0.0842952
426,64.0667,63.35,0.07628,0.0843472
427,65.425,63.975,0.0760353,0.0841381
428,65.3583,62.75,0.0762756,0.0828854
429,64.0167,66.125,0.0754869,0.0836347
430,65.0167,64,0.0753822,0.0836138
431,63.8917,64.525,0.0759404,0.0848365
432,65.525,64.225,0.0756145,0.08413
433,64.375,62.95,0.0756137,0.0816263
434,65.4583,65.325,0.0756695,0.0846564
435,63.725,66.275,0.0751883,0.0848392
436,64.0917,65.075,0.0757163,0.0844961
437,64.6083,64.85,0.0758047,0.0825086
438,64.1083,65.4,0.0755656,0.0836369
439,64.8083,65.55,0.0754002,0.0831471
440,65.2833,66.75,0.0754647,0.0839708
441,65.3083,66.65,0.0765536,0.0826313
442,64.4167,65.9,0.0757295,0.0834698
443,64.5333,67.75,0.0758069,0.08278
444,65.1833,65.975,0.0763827,0.083252
445,64.6917,67.25,0.0757121,0.0829964
446,64.7167,65.275,0.0757348,0.0841089
447,65.025,68.525,0.0756271,0.084029
448,65.2583,65.575,0.0760898,0.0847165
449,64.9,65.65,0.0757462,0.0836432
450,64.9417,66.95,0.0761904,0.0853645
451,65.0417,65.9,0.0753394,0.0836431
452,65.6417,62.825,0.0752072,0.0842385
453,66.5833,63.025,0.0756593,0.0855794
454,65.975,64.075,0.0749373,0.0837478
455,65.5,67.25,0.0752355,0.0824492
456,65.3,63.3,0.0750268,0.0828784
457,66.4583,63.4,0.0755876,0.0827975
458,65.5,67.35,0.0751213,0.0817733
459,65.5583,67.35,0.0752518,0.0809259
460,65.95,67.15,0.0756315,0.0815287
461,65.675,66.325,0.0745921,0.0839646
462,66.1667,66.15,0.0750311,0.0836457
463,65.7667,66.475,0.0750304,0.082601
464,66.0417,65.35,0.0752631,0.0828499
465,66.1,65.45,0.0752935,0.0839398
466,66.175,66.125,0.0754077,0.0846027
467,66.1,66.875,0.0754589,0.0836886
468,65.6667,67.45,0.0748395,0.0828172
469,65.525,65.85,0.0751778,0.0835016
470,65.625,66.25,0.0746333,0.084955
471,65.375,66.225,0.074774,0.0851696
472,65.6083,67.125,0.0748764,0.0849098
473,65.3,68.675,0.0752119,0.0862169
474,66.1417,64.475,0.0752593,0.084478
475,65.975,63.775,0.0754681,0.0838492
476,65.8,65.425,0.075119,0.0844523
477,65.5417,68.15,0.0755743,0.0843194
478,64.7,66.55,0.07575,0.0831104
479,65.3583,65.725,0.0755051,0.0824873
480,65.6417,64.425,0.0754851,0.0842618
481,64.9917,66.65,0.0764978,0.0846918
482,66.675,62.925,0.0757409,0.084514
483,65.7417,65.425,0.0752542,0.0837151
484,66.725,66.825,0.074358,0.0856828
485,67.0833,66.625,0.0748603,0.0845548
486,67.2083,64.05,0.075081,0.0822265
487,66.3083,65.75,0.0751091,0.0819856
488,66.7167,65.675,0.0761504,0.0837789
489,66.2667,65.7,0.0765208,0.0846041
490,66.775,63.1,0.0762824,0.0832527
491,65.8417,64.425,0.0750217,0.0828162
492,66.8,65.025,0.0754648,0.0834366
493,66.1417,68.075,0.0759634,0.084417
494,66.0583,65.7,0.074874,0.082819
495,66.075,67.9,0.0756983,0.0834062
496,67.225,64.325,0.0752861,0.0827563
497,66.5417,65.65,0.0756935,0.0831178
498,67.125,65.225,0.0747901,0.0823088
499,66.6583,67.35,0.0750884,0.0831747
500,66.6583,67.35,0.0750884,0.0831747

Training Complete!!! - > Elapsed Epochs: 500 Validation Set Accuracy: 67.725 Validation Set MSE: 0.0820475
